Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
2008,FILM EDITING,The Curious Case of Benjamin Button,Kirk Baxter and Angus Wall,"nm0062775,nm0908370",0.0,"Warner Bros., Paramount Pictures, The Kennedy/Marshall Company",paramount,intercomfilm,karo premiere,warner bros,"warner bros, continental film, fox-warner, sandrew metronome distribution sverige ab, sandrew metronome distribution, twentieth century fox, twentieth century fox, village films, warner bros pictures, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, the criterion collection, the criterion collection, argentina video home, argentina video home, warner home video, warner home video, warner home video, warner home video, warner home video, film1, vt4, net5, argentina video home, warner home video, paramount pictures, roadshow entertainment, roadshow films, warner bros pictures, 7mate, disney channel, hbo max, special broadcasting service (sbs), warner bros pictures, warner bros pictures, warner home video, warner home video, warner home video, warner home vã­deo, warner home vã­deo"
2008,FILM EDITING,The Dark Knight,Lee Smith,nm0809059,0.0,"Warner Bros., Legendary Entertainment, Syncopy, DC Comics",alexandra films,blitz,columbia tristar warner filmes de portugal,continental film,"forum cinemas, fox-warner, intercom, intercomfilm, karo premiere, nu metro cinemas, sam film, sandrew metronome distribution sverige ab, sandrew metronome distribution, sandrew metronome international, sandrew metronome norge, twentieth century fox, village films, warner bros korea, warner bros pictures germany, warner bros pictures mexico, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros singapore, warner bros turkey, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, 9go!, amazon prime video, argentina video home, argentina video home, argentina video home, argentina video home, argentina video home, argentina video home, cinã©+, cinã©+, cinã©pop, film1, hbo max, home box office (hbo), itv 1, kanal 2, prosieben, sbs6, sbs9, schweizer radio und fernsehen (srf), sky cinema premieren, tnt, tã©lã© montã© carlo (tmc), vt4, veronica, warner bros home entertainment, warner bros home entertainment, warner bros pictures, warner bros pictures, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home vã­deo, warner home vã­deo, ã–sterreichischer rundfunk (orf)"
2008,FILM EDITING,Frost/Nixon,Mike Hill and Dan Hanley,"nm0384528,nm0360067",0.0,"Universal Pictures, Imagine Entertainment, Working Title Films, StudioCanal, Relativity Media, Digital Image Associates",universal,bontonfilm,paramount films of india,studiocanal,"tatrafilm, toho-towa, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), argentina video home, big music and home entertainment, finnkino, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures video, universal pictures video, universal pictures video, universal pictures, universal pictures, universal pictures, universal pictures, universal pictures, hbo pacific partners of netherlands antilles, home box office (hbo), ion television, fabulous films, la7"
2008,FILM EDITING,Milk,Elliot Graham,nm0971680,0.0,"Focus Features, Axon Films, Groundswell Productions, Jinks/Cohen Company, Cinema Vehicles",focus features,a-film distribution,a-film distribution,ascot elite entertainment group,"bim distribuzione, castello lopes multimã©dia, constantin film, constantin film, fs film, hollywood classic entertainment, momentum pictures, odeon, paradise group, pix, snd films, serenity entertainment international, shaw organisation, svensk filmindustri (sf), svensk filmindustri (sf), svensk filmindustri (sf), united international pictures, viva international pictures, a-film distribution, a-film home entertainment, alliance atlantis home video, argentina video home, argentina video home, fox, giangiacomo feltrinelli editore, home box office (hbo), movie bank, paramount home entertainment, prorom media-trade, umbrella entertainment, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), verenigde arbeiders radio amateurs (vara), yleisradio (yle)"
2008,FILM EDITING,Slumdog Millionaire,Chris Dickens,nm0225323,1.0,"Searchlight Pictures, Warner Bros., Film4, PathÃ©, Celador Films, Cloud Eight Films",pathã© distribution,fox searchlight pictures,twentieth century fox,chantier films,"filmax, lucky red, monolith films, monopole-pathã©, icon film distribution australia, mediasoft films, barton films, pinema, prokino filmverleih, svensk filmindustri (sf), svensk filmindustri, svensk filmindustri, 20th century fox india, barton films, bazuca films, bontonfilm, cine colombia, cinã©art, cinã©art, distribution company, fs film, filmladen, forum hungary, gaga, golden screen cinemas, golden village pictures, hoyts, lev cinemas, londra films p&d, myndform, pathã© distribution, serenity entertainment international, twentieth century fox, viva international pictures, volga, 20th century fox home entertainment, 20th century fox home entertainment, 20th century fox home entertainment, 20th century fox home entertainment, ablo, argentina video home, audio visual enterprises, castello lopes multimã©dia, edko films, europa filmes, film1, fox star studios, home box office (hbo), ipa asia pacific, phars film, twin pics, vizion, argentina video home, channel 4 television corporation, argentina video home, ntr, nelonen, ion television, argentina video home, divisa home video, etv (eesti televisioon), disney media distribution (dmd), hbo max, arthaus, arthaus, yleisradio (yle), 7flix, disney+"
2008,FOREIGN LANGUAGE FILM,The Baader Meinhof Complex,Germany,,0.0,"Constantin Film, Norddeutscher Rundfunk (NDR), Bayerischer Rundfunk (BR), Westdeutscher Rundfunk (WDR), ARD Degeto Film, Nouvelles Ã‰ditions de Films (NEF), G.T. Film Production, Dune Films",constantin film,constantin film,highlight film,highlight film,"a-film distribution, a-film distribution, a-film distribution, aurum, bontonfilm, constantin film, golden village pictures, imagem filmes, metropolitan filmexport, momentum pictures, monolith plus, movie-eye entertainment, nordisk film, tatrafilm, vitagraph films, 01 distribution, a-film home entertainment, a-film home entertainment, aurum, bim distribuzione, constantin film, filmes lusomundo, happinet pictures, icon home entertainment, icon home entertainment, mpi home video, mpi home video, momentum pictures home entertainment, movie bank, nordisk film video, nordisk film, nordisk film, nordisk film, odeon, seven sept, seven sept, turbine medien, video vision entertainment"
2008,FOREIGN LANGUAGE FILM,The Class,France,,0.0,"Haut et Court, France 2 CinÃ©ma, Canal+, CinÃ©CinÃ©ma, France 2 (FR2), SoficinÃ©ma 3, Centre national du cinÃ©ma et de l'image animÃ©e (CNC), Agence Nationale pour la CohÃ©sion Sociale et l'EgalitÃ© des Chances (ACSE), La RÃ©gion ÃŽle-de-France, Cofinova 4, Fonds Images de la DiversitÃ©, MEDIA Programme of the European Union, SociÃ©tÃ© des Producteurs de CinÃ©ma et de TÃ©lÃ©vision (Procirep)",haut et court,france tã©lã©vision distribution,amafilms,artcam,"camera film, cinã©art, edko films, filmcoopi zã¼rich, kino bez granits, primer plano film group, sony pictures classics, sony pictures classics, sony pictures classics, sony pictures classics, tokyo theatres, artificial eye, barbar film, cinema mondo, concorde filmverleih, film1, golem distribuciã³n, hishow entertainment, imovision, mikado film, nonstop entertainment, spinka, sony pictures classics, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, tiger house, transeuropa video entertainment (tve), twin pics"
2008,FOREIGN LANGUAGE FILM,Departures,Japan,,1.0,"Amuse Soft, Asahi Shimbun, Dentsu, Mainichi Broadcasting System, Sedic, Shochiku, Shogakukan, TBS Radio & Communications, Tokyo Broadcasting System",regent releasing,russian report,shochiku,studio s entertainment,"tucker film, wild bunch benelux, a-film benelux msd, a-film home entertainment, alfa films, amuse soft, arrow films, cn entertainment, china movie channel, emperor motion pictures, entertainment one, entertainment one, giangiacomo feltrinelli editore, golden screen cinemas, golden village pictures, kd media, kool filmdistribution, lark films distribution, madman entertainment, madman entertainment, metropolitan filmexport, narrative capital, paris filmes, rai movie, regent releasing, studio s entertainment, transeuropa video entertainment (tve), videorama, yleisradio (yle), zeus films"
2008,FOREIGN LANGUAGE FILM,Revanche,Austria,,0.0,"Prisma Film- und Fernsehproduktion, Spielmannfilm",movienet,cineworx,artplex attica,amstelfilm,"art servis, arthaus, artificial eye, continental film, fandango, filmgalerie 451, filmladen, janus films, janus films, mk2 diffusion, new star, rialto distribution, special broadcasting service (sbs), rialto entertainment, vadi van kris, alfa films, mozinet, russian report, filmfreak distributie, hbo max, laptv, the criterion channel, the criterion collection, the criterion collection"
2008,FOREIGN LANGUAGE FILM,Waltz with Bashir,Israel,,0.0,"Bridgit Folman Film Gang, Les Films d'Ici, Razor Film Produktion GmbH, ARTE, ITVS International, Noga Communication - Channel 8, New Israeli Foundation for Cinema and Television, Medienboard Berlin-Brandenburg, Israel Film Fund, HOT, YLE Teema, TÃ©lÃ©vision Suisse-Romande (TSR), Radio TÃ©lÃ©vision Belge Francophone (RTBF), Special Broadcasting Service (SBS)",asociã¡cia slovenskã½ch filmovã½ch klubov (asfk),cgv mars dagitim,cinã©art,cinã©art,"cinã©art, future film, kino bez granits, pandora filmproduktion, sharmill films, slovo filma, sony pictures classics, sony pictures releasing, sony pictures releasing, sony pictures releasing, stadtkino filmverleih, tiglon, utv motion pictures, aerofilms, aerofilms, against gravity, alive vertrieb und marketing, arkles entertainment, artificial eye, atalanta filmes, entertainment one, film1, filmware international, first distributors, folkets bio, future film, future film, golem distribuciã³n, iris, le pacte, lucky red, madman entertainment, seven films, seville pictures, sony pictures home entertainment, sony pictures home entertainment, sony pictures releasing, the criterion channel, twin pics"
