Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
2005,MUSIC (Original Score),Brokeback Mountain,Gustavo Santaolalla,nm0763395,1.0,"Focus Features, River Road Entertainment, Alberta Film Entertainment, Good Machine",focus features,alliance atlantis motion picture distribution,norsk filmdistribusjon,odeon,"sandrew metronome, bazuca films, cinemac films, tayrona entertainment group, a-film distribution, ascot elite entertainment group, bioscop, distribution company, entertainment film distributors, sandrew metronome distribution, shaw organisation, tobis film, weg entertainment, wise policy, a-film home entertainment, alliance atlantis home video, argentina video home, argentina video home, entertainment in video, giangiacomo feltrinelli editore, paradise group, pathã© vidã©o, sandrew metronome distribution, ugc ph, universal pictures home entertainment (uphe), universum film (ufa), alliance atlantis home video, film1, canvas, verenigde arbeiders radio amateurs (vara), yleisradio (yle), universal pictures home entertainment (uphe), warner bros entertainment finland, yleisradio (yle), universal pictures home entertainment (uphe), music television (mtv), 7bravo, kino lorber"
2005,MUSIC (Original Score),The Constant Gardener,Alberto Iglesias,nm0407076,0.0,"Focus Features, UK Film Council, Potboiler Productions, Scion Films, Blue Sky Films, Epsilon Motion Pictures, Studio Babelsberg, StudioCanal",focus features,united international pictures (uip),a-film distribution,ascot elite entertainment group,"mars distribution, norsk filmdistribusjon, odeon, sandrew metronome distribution sverige ab, sandrew metronome distribution, united international pictures (uip), united international pictures (uip), edko films, golden screen cinemas, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, united international pictures, paradise group, bioscop, celebrity films, kinowelt filmverleih, shaw organisation, argentina video home, argentina video home, giangiacomo feltrinelli editore, kinowelt home entertainment, plazavista entertainment, sandrew metronome distribution, sandrews, universal pictures home entertainment (uphe), universal pictures, verenigde arbeiders radio amateurs (vara), alliance atlantis home video, yleisradio (yle), studiocanal vidã©o"
2005,MUSIC (Original Score),Memoirs of a Geisha,John Williams,nm0002354,0.0,"Columbia Pictures, Dreamworks Pictures, Spyglass Entertainment, Amblin Entertainment, Red Wagon Entertainment, United Performers' Studio, Miramax",columbia pictures,sony pictures releasing,eagle pictures,paradise group,"sony pictures releasing, dreamworks, sony pictures releasing, spyglass international, buena vista international, buena vista international, columbia tristar films de argentina, falcon, forum hungary, fox-warner, mars distribution, roadshow film distributors (nz) ltd, roadshow films, shochiku, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, warner bros, buena vista international, eagle home video, eagle pictures, lk-tel, lk-tel, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, studiocanal, universal pictures video, warner home video, warner home video, eagle home video, film1, lk-tel, sony pictures home entertainment, net5, sony pictures home entertainment, universal pictures video, canvas, gem entertainment"
2005,MUSIC (Original Score),Munich,John Williams,nm0002354,0.0,"Dreamworks Pictures, Universal Pictures, Amblin Entertainment, The Kennedy/Marshall Company, Barry Mendel Productions, Alliance Atlantis Communications, Peninsula Films",universal,united international pictures (uip),bontonfilm,buena vista international finland,"united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), asmik ace entertainment, paramount films of india, solar entertainment, united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, united home entertainment, universal pictures finland, universal pictures home entertainment (uphe), universal pictures, universal pictures, universal pictures, film1, net5, sub, mainostelevisio (mtv3), ava, viva, hero, universal pictures home entertainment (uphe), rtl entertainment, fox, fox-paramount home entertainment, nelonen, paramount home entertainment, universal pictures, universal pictures, arte, arte, 9go!"
2005,MUSIC (Original Score),Pride & Prejudice,Dario Marianelli,nm0547050,0.0,"Universal Pictures, StudioCanal, Working Title Films, Scion Films",united international pictures (uip),focus features,buena vista international finland,united international pictures (uip),"united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), paramount films of india, united international pictures (uip), united international pictures (uip), alliance atlantis home video, bontonfilm, mars distribution, solar entertainment, united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, universal pictures finland, universal pictures home entertainment (uphe), universal pictures, universal pictures, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures, waylen group, umbrella entertainment, 7bravo, m6"
2005,MUSIC (Original Song),Crash,"Music by Kathleen \""Bird\"" York and Michael Becker; Lyric by Kathleen \""Bird\"" York","nm0948723,nm0065528",0.0,"Bob Yari Productions, DEJ Productions, Blackfriars Bridge Films, Harris Company, ApolloProScreen Filmproduktion, Bull's Eye Entertainment, Incognito Pictures",toronto international film festival,tayrona entertainment group,television,television,"lionsgate, alfa films, bontonfilm, christal films, golden village pictures, gussi films, independent films, metropolitan filmexport, scanbox entertainment, dpi propaganda, lions gate films home entertainment, lions gate films home entertainment, maple pictures, transeuropa video entertainment (tve), transeuropa video entertainment (tve), gateno films, imagem filmes, maple pictures, scanbox entertainment, universal pictures, universum film (ufa), universal pictures, yleisradio (yle), multivision multimedia india, ava, fox, imagem filmes, imagem filmes, lions gate films home entertainment, lions gate films home entertainment, lions gate films home entertainment, lions gate films home entertainment, scanbox entertainment, scanbox entertainment, sub, telepool"
2005,MUSIC (Original Song),Hustle & Flow,"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard","nm1435812,nm2202418,nm1434516",1.0,"Crunk Pictures, Homegrown Pictures, MTV Films, New Deal Productions",paramount classics,mtv films,united international pictures (uip),united international pictures (uip),"united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), argentina video home, argentina video home, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, united international pictures, paramount home entertainment, net5"
2005,MUSIC (Original Song),Transamerica,Music and Lyric by Dolly Parton,nm0000573,0.0,Belladonna Productions,the weinstein company,ifc films,pathã© distribution,first distributors,"contentfilm international, a-film distribution, alfa films, ascot elite entertainment group, bac films, cathay-keris films, columbia tristar film, falcom media, hopscotch productions, sony pictures releasing, 8 e mezzo, a-film home entertainment, barbar film, focus filmes, gateno films, impuls home entertainment, nordisk film, prorom media-trade, sandrew metronome distribution, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), canvas, genius entertainment, rtl entertainment, visionary thinking, kanal d"
2005,BEST PICTURE,Brokeback Mountain,"Diana Ossana and James Schamus, Producers","nm0652223,nm0770005",0.0,"Focus Features, River Road Entertainment, Alberta Film Entertainment, Good Machine",focus features,alliance atlantis motion picture distribution,norsk filmdistribusjon,odeon,"sandrew metronome, bazuca films, cinemac films, tayrona entertainment group, a-film distribution, ascot elite entertainment group, bioscop, distribution company, entertainment film distributors, sandrew metronome distribution, shaw organisation, tobis film, weg entertainment, wise policy, a-film home entertainment, alliance atlantis home video, argentina video home, argentina video home, entertainment in video, giangiacomo feltrinelli editore, paradise group, pathã© vidã©o, sandrew metronome distribution, ugc ph, universal pictures home entertainment (uphe), universum film (ufa), alliance atlantis home video, film1, canvas, verenigde arbeiders radio amateurs (vara), yleisradio (yle), universal pictures home entertainment (uphe), warner bros entertainment finland, yleisradio (yle), universal pictures home entertainment (uphe), music television (mtv), 7bravo, kino lorber"
2005,BEST PICTURE,Capote,"Caroline Baron, William Vince and Michael Ohoven, Producers","nm0056205,nm0898549,nm0645164",0.0,"United Artists, Sony Pictures Classics, A-Line Pictures, Cooper's Town Productions, Infinity Media, Eagle Vision, Capital Arts Entertainment, Capote Productions, United Artists",metro-goldwyn-mayer distributing corporation (mgm),united artists,mongrel media,sony pictures,"columbia tristar film distributors international, united international pictures (uip), columbia tristar film, columbia tristar films de argentina, columbia tristar films of india, sony pictures filmverleih, sony pictures releasing italia, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, lk-tel, lk-tel, mongrel media, sony pictures home entertainment, sony pictures home entertainment, falcon, nordisk film, gaumont/columbia tristar films, sony pictures releasing, intercom, sony pictures releasing, sony pictures releasing, gateno films, sony pictures releasing, buena vista international, sony pictures home entertainment, columbia tristar home video, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, net5, the cw network (the cw), film1, 20th century fox home entertainment, 20th century fox home entertainment, film1, rai 1, rai movie, pidax film, pidax film, yleisradio (yle), the criterion channel"
2005,BEST PICTURE,Crash,"Paul Haggis and Cathy Schulman, Producers","nm0353673,nm0776072",1.0,"Bob Yari Productions, DEJ Productions, Blackfriars Bridge Films, Harris Company, ApolloProScreen Filmproduktion, Bull's Eye Entertainment, Incognito Pictures",toronto international film festival,tayrona entertainment group,television,television,"lionsgate, alfa films, bontonfilm, christal films, golden village pictures, gussi films, independent films, metropolitan filmexport, scanbox entertainment, dpi propaganda, lions gate films home entertainment, lions gate films home entertainment, maple pictures, transeuropa video entertainment (tve), transeuropa video entertainment (tve), gateno films, imagem filmes, maple pictures, scanbox entertainment, universal pictures, universum film (ufa), universal pictures, yleisradio (yle), multivision multimedia india, ava, fox, imagem filmes, imagem filmes, lions gate films home entertainment, lions gate films home entertainment, lions gate films home entertainment, lions gate films home entertainment, scanbox entertainment, scanbox entertainment, sub, telepool"
2005,BEST PICTURE,"Good Night, and Good Luck.","Grant Heslov, Producer",nm0381416,0.0,"Warner Independent Pictures (WIP), 2929 Productions, Participant, Davis Films, Redbus Pictures, Tohokushinsha Film Corporation (TFC), Section Eight, Metropolitan Talent Agency",warner independent pictures (wip),warner bros,dendy films,pinema,"prorom media-trade, stadtkino filmverleih, 2929 international, ascot elite entertainment group, becker entertainment, cathay-keris films, distribution company, intercinema art agency, kinowelt filmverleih, mediafilm, metropolitan filmexport, odeon, palace pictures, pandasia entertainment, paradiso entertainment, paris filmes, redbus film distribution, scanbox entertainment, scanbox entertainment, scanbox entertainment, tohokushinsha film corporation (tfc), videovision entertainment, vã©rtice 360, warner bros, argentina video home, argentina video home, kinowelt home entertainment, lionsgate home entertainment, paradiso home entertainment, paris filmes, pony canyon, scanbox entertainment, sony pictures home entertainment, tva international, tva, warner home video, moving turtle, movies inspired, united king films"
2005,BEST PICTURE,Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers","nm0005086,nm0000229,nm0578814",0.0,"Dreamworks Pictures, Universal Pictures, Amblin Entertainment, The Kennedy/Marshall Company, Barry Mendel Productions, Alliance Atlantis Communications, Peninsula Films",universal,united international pictures (uip),bontonfilm,buena vista international finland,"united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), asmik ace entertainment, paramount films of india, solar entertainment, united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, united home entertainment, universal pictures finland, universal pictures home entertainment (uphe), universal pictures, universal pictures, universal pictures, film1, net5, sub, mainostelevisio (mtv3), ava, viva, hero, universal pictures home entertainment (uphe), rtl entertainment, fox, fox-paramount home entertainment, nelonen, paramount home entertainment, universal pictures, universal pictures, arte, arte, 9go!"
2005,SHORT FILM (Animated),Badgered,Sharon Colman,nm1880529,0.0,National Film and Television School,magnolia home entertainment,,,,
2005,SHORT FILM (Animated),The Moon and the Son: An Imagined Conversation,John Canemaker and Peggy Stern,"nm0133866,nm1852268",1.0,John Canemaker Productions,john canemaker productions,magnolia home entertainment,,,
2005,SHORT FILM (Animated),The Mysterious Geographic Explorations of Jasper Morello,Anthony Lucas,nm0524077,0.0,"3D Films, Film Victoria, SBS Independent, The Australian Film Commission",magnolia home entertainment,monster distributes,,,
2005,SHORT FILM (Animated),9,Shane Acker,nm0009942,0.0,UCLA Animation Workshop,quality films,sandrew metronome distribution,,,
2005,SHORT FILM (Animated),One Man Band,Andrew Jimenez and Mark Andrews,"nm1285750,nm0028764",0.0,Pixar Animation Studios,buena vista international mexico,buena vista international,buena vista international,buena vista international,"buena vista international, buena vista international, buena vista pictures distribution, buena vista international, buena vista pictures, disney+, disney+, walt disney home entertainment, walt disney home entertainment, walt disney home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment"
2005,SHORT FILM (Live Action),Ausreisser (The Runaway),Ulrike Grote,nm0343826,0.0,"Filmstudium UniversitÃ¤t Hamburg, Hamburger FilmwerkstÃ¤tten e.V.",w-film filmproduktion & filmverleih,kurt media,magnolia home entertainment,,
2005,SHORT FILM (Live Action),Cashback,Sean Ellis and Lene Bausager,"nm1193346,nm1184392",0.0,"Left Turn Films, Ugly Duckling Films, RSA Films",magnolia home entertainment,,,,
2005,SHORT FILM (Live Action),The Last Farm,Rúnar Rúnarsson and Thor S. Sigurjónsson,"nm1242172,nm0797609",0.0,"KvikmyndamiÃ°stÃ¶Ã° Ãslands, Nordisk Film & TV-Fond, Sveriges Television (SVT), Zik Zak Filmworks, Zik Zak Kvikmyndir",icelandic film center,magnolia home entertainment,,,
2005,SHORT FILM (Live Action),Our Time Is Up,Rob Pearlstein and Pia Clemente,"nm1745389,nm0166161",0.0,Station B,magnolia home entertainment,,,,
2005,SHORT FILM (Live Action),Six Shooter,Martin McDonagh,nm1732981,1.0,"FilmFour, Bord ScannÃ¡n na hÃ‰ireann / The Irish Film Board, Missing in Action Films, Funny Farm Films, Fantastic Films",magnolia home entertainment,the works,,,
2005,SOUND EDITING,King Kong,Mike Hopkins and Ethan Van der Ryn,"nm0394243,nm0886399",1.0,"Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film",universal,united international pictures (uip),united international pictures (uip),bontonfilm,"buena vista international finland, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), universal pictures, paramount films of india, solar entertainment, solar pictures, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, era home entertainment, universal home video, universal pictures finland, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures spain, universal pictures video, universal pictures video, universal pictures video, universal pictures, universal pictures, hollydan works, rtl entertainment, american broadcasting company (abc), argentina video home, intercontinental film distributors (hk), sub, universal pictures home entertainment (uphe), mainostelevisio (mtv3), universal pictures home entertainment (uphe), universal pictures video, universal pictures, universal pictures home entertainment (uphe), waylen group, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), veronica, universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures, kanal 2, paramount channel, 9go!, itvx"
2005,SOUND EDITING,Memoirs of a Geisha,Wylie Stateman,nm0823758,0.0,"Columbia Pictures, Dreamworks Pictures, Spyglass Entertainment, Amblin Entertainment, Red Wagon Entertainment, United Performers' Studio, Miramax",columbia pictures,sony pictures releasing,eagle pictures,paradise group,"sony pictures releasing, dreamworks, sony pictures releasing, spyglass international, buena vista international, buena vista international, columbia tristar films de argentina, falcon, forum hungary, fox-warner, mars distribution, roadshow film distributors (nz) ltd, roadshow films, shochiku, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, warner bros, buena vista international, eagle home video, eagle pictures, lk-tel, lk-tel, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, studiocanal, universal pictures video, warner home video, warner home video, eagle home video, film1, lk-tel, sony pictures home entertainment, net5, sony pictures home entertainment, universal pictures video, canvas, gem entertainment"
2005,SOUND EDITING,War of the Worlds,Richard King,nm0455185,0.0,"Paramount Pictures, Dreamworks Pictures, Amblin Entertainment, Cruise/Wagner Productions",paramount,paramount,united international pictures (uip),b&h film distribution,"bontonfilm, buena vista international finland, markiza, paramount films of india, paramount pictures, solar entertainment, sunny films, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, united international pictures, argentina video home, argentina video home, dreamworks home entertainment, dreamworks home entertainment, odeon home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, american broadcasting company (abc), mainostelevisio (mtv3), sbs6, sub, dreamworks home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, argentina video home, falcon, paramount channel, cinã©mart, falcon, dreamworks home entertainment, hbo max, magic box, paramount home entertainment, paramount home entertainment, 9go!, hbo zone, paramount pictures, china television, nickelodeon network, ocn, network 10"
2005,SOUND MIXING,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Terry Porter, Dean A. Zupancic and Tony Johnson","nm0692310,nm0958711,nm0426357",0.0,"Walt Disney Pictures, Walden Media",buena vista pictures distribution,buena vista international,buena vista international,buena vista international,"buena vista international (norway), buena vista international mexico, buena vista international, buena vista international, buena vista international, buena vista international, buena vista international, buena vista international, cascade film, forum cinemas, forum hungary, united international pictures (uip), buena vista international, buena vista international, falcon, sony pictures releasing, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista international, gativideo, gativideo, walt disney home entertainment, walt disney home entertainment, walt disney studios home entertainment, film1, abc family, american broadcasting company (abc), buena vista home entertainment, buena vista home entertainment, sbs6, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, disney xd, 20th century fox home entertainment, 20th century fox home entertainment, hotstar, discovery family channel, disney channel, syfy, byutv, disney+, walt disney studios home entertainment"
2005,SOUND MIXING,King Kong,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek","nm0102110,nm0783713,nm0373276,nm0003827",1.0,"Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film",universal,united international pictures (uip),united international pictures (uip),bontonfilm,"buena vista international finland, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), universal pictures, paramount films of india, solar entertainment, solar pictures, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, era home entertainment, universal home video, universal pictures finland, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures spain, universal pictures video, universal pictures video, universal pictures video, universal pictures, universal pictures, hollydan works, rtl entertainment, american broadcasting company (abc), argentina video home, intercontinental film distributors (hk), sub, universal pictures home entertainment (uphe), mainostelevisio (mtv3), universal pictures home entertainment (uphe), universal pictures video, universal pictures, universal pictures home entertainment (uphe), waylen group, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), veronica, universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures, kanal 2, paramount channel, 9go!, itvx"
2005,SOUND MIXING,Memoirs of a Geisha,"Kevin O'Connell, Greg P. Russell, Rick Kline and John Pritchett","nm0640114,nm0751169,nm0459662,nm0698099",0.0,"Columbia Pictures, Dreamworks Pictures, Spyglass Entertainment, Amblin Entertainment, Red Wagon Entertainment, United Performers' Studio, Miramax",columbia pictures,sony pictures releasing,eagle pictures,paradise group,"sony pictures releasing, dreamworks, sony pictures releasing, spyglass international, buena vista international, buena vista international, columbia tristar films de argentina, falcon, forum hungary, fox-warner, mars distribution, roadshow film distributors (nz) ltd, roadshow films, shochiku, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, sony pictures releasing, warner bros, buena vista international, eagle home video, eagle pictures, lk-tel, lk-tel, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, studiocanal, universal pictures video, warner home video, warner home video, eagle home video, film1, lk-tel, sony pictures home entertainment, net5, sony pictures home entertainment, universal pictures video, canvas, gem entertainment"
2005,SOUND MIXING,Walk the Line,"Paul Massey, D.M. Hemphill and Peter F. Kurland","nm0557338,nm0376153,nm0004212",0.0,"Fox 2000 Pictures, Tree Line Film, Konrad Pictures, Catfish Productions, Major Studio Partners, Mars Media Beteiligungs",twentieth century fox,twentieth century fox,twentieth century fox,bontonfilm,"fs film, fox-warner, twentieth century fox, twentieth century fox, twentieth century fox, twentieth century fox, twentieth century fox, twentieth century fox, 20th century fox argentina, twentieth century fox, warner bros fe, 20th century fox home entertainment, 20th century fox home entertainment, fox pathã© europa, gativideo, gativideo, twentieth century fox home entertainment, rtl entertainment, cbs, 20th century fox home entertainment, 20th century fox home entertainment, vrijzinnig protestantse radio omroep (vpro), hbo max"
2005,SOUND MIXING,War of the Worlds,"Andy Nelson, Anna Behlmer and Ronald Judkins","nm0625144,nm0066933,nm0431954",0.0,"Paramount Pictures, Dreamworks Pictures, Amblin Entertainment, Cruise/Wagner Productions",paramount,paramount,united international pictures (uip),b&h film distribution,"bontonfilm, buena vista international finland, markiza, paramount films of india, paramount pictures, solar entertainment, sunny films, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, united international pictures, argentina video home, argentina video home, dreamworks home entertainment, dreamworks home entertainment, odeon home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, american broadcasting company (abc), mainostelevisio (mtv3), sbs6, sub, dreamworks home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, argentina video home, falcon, paramount channel, cinã©mart, falcon, dreamworks home entertainment, hbo max, magic box, paramount home entertainment, paramount home entertainment, 9go!, hbo zone, paramount pictures, china television, nickelodeon network, ocn, network 10"
2005,VISUAL EFFECTS,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Dean Wright, Bill Westenhofer, Jim Berney and Scott Farrar","nm0942331,nm0922543,nm0076737,nm0268141",0.0,"Walt Disney Pictures, Walden Media",buena vista pictures distribution,buena vista international,buena vista international,buena vista international,"buena vista international (norway), buena vista international mexico, buena vista international, buena vista international, buena vista international, buena vista international, buena vista international, buena vista international, cascade film, forum cinemas, forum hungary, united international pictures (uip), buena vista international, buena vista international, falcon, sony pictures releasing, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista home entertainment, buena vista international, gativideo, gativideo, walt disney home entertainment, walt disney home entertainment, walt disney studios home entertainment, film1, abc family, american broadcasting company (abc), buena vista home entertainment, buena vista home entertainment, sbs6, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, disney xd, 20th century fox home entertainment, 20th century fox home entertainment, hotstar, discovery family channel, disney channel, syfy, byutv, disney+, walt disney studios home entertainment"
2005,VISUAL EFFECTS,King Kong,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor","nm0504784,nm0401314,nm0729514,nm0853050",1.0,"Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film",universal,united international pictures (uip),united international pictures (uip),bontonfilm,"buena vista international finland, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), universal pictures, paramount films of india, solar entertainment, solar pictures, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, argentina video home, era home entertainment, universal home video, universal pictures finland, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures spain, universal pictures video, universal pictures video, universal pictures video, universal pictures, universal pictures, hollydan works, rtl entertainment, american broadcasting company (abc), argentina video home, intercontinental film distributors (hk), sub, universal pictures home entertainment (uphe), mainostelevisio (mtv3), universal pictures home entertainment (uphe), universal pictures video, universal pictures, universal pictures home entertainment (uphe), waylen group, universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), veronica, universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures, kanal 2, paramount channel, 9go!, itvx"
2005,VISUAL EFFECTS,War of the Worlds,"Dennis Muren, Pablo Helman, Randal M. Dutra and Daniel Sudick","nm0613830,nm0375666,nm0244833,nm0837203",0.0,"Paramount Pictures, Dreamworks Pictures, Amblin Entertainment, Cruise/Wagner Productions",paramount,paramount,united international pictures (uip),b&h film distribution,"bontonfilm, buena vista international finland, markiza, paramount films of india, paramount pictures, solar entertainment, sunny films, taramount film, united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures (uip), united international pictures, united international pictures, argentina video home, argentina video home, dreamworks home entertainment, dreamworks home entertainment, odeon home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, american broadcasting company (abc), mainostelevisio (mtv3), sbs6, sub, dreamworks home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, paramount home entertainment, argentina video home, falcon, paramount channel, cinã©mart, falcon, dreamworks home entertainment, hbo max, magic box, paramount home entertainment, paramount home entertainment, 9go!, hbo zone, paramount pictures, china television, nickelodeon network, ocn, network 10"
2005,WRITING (Adapted Screenplay),Brokeback Mountain,Screenplay by Larry McMurtry & Diana Ossana,"nm0573505,nm0652223",1.0,"Focus Features, River Road Entertainment, Alberta Film Entertainment, Good Machine",focus features,alliance atlantis motion picture distribution,norsk filmdistribusjon,odeon,"sandrew metronome, bazuca films, cinemac films, tayrona entertainment group, a-film distribution, ascot elite entertainment group, bioscop, distribution company, entertainment film distributors, sandrew metronome distribution, shaw organisation, tobis film, weg entertainment, wise policy, a-film home entertainment, alliance atlantis home video, argentina video home, argentina video home, entertainment in video, giangiacomo feltrinelli editore, paradise group, pathã© vidã©o, sandrew metronome distribution, ugc ph, universal pictures home entertainment (uphe), universum film (ufa), alliance atlantis home video, film1, canvas, verenigde arbeiders radio amateurs (vara), yleisradio (yle), universal pictures home entertainment (uphe), warner bros entertainment finland, yleisradio (yle), universal pictures home entertainment (uphe), music television (mtv), 7bravo, kino lorber"
