Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;MUSIC (Original Dramatic Score);Kundun;tt0119485;Philip Glass;Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.;0.0;0;0;0;0;0;0
1997;MUSIC (Original Dramatic Score);L.A. Confidential;tt0119488;Jerry Goldsmith;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;MUSIC (Original Dramatic Score);Titanic;tt0120338;James Horner;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;MUSIC (Original Musical or Comedy Score);Anastasia;tt0118617;"Music by Stephen Flaherty; Lyrics by Lynn Ahrens; Orchestral Score by David Newman";Twentieth Century Fox, Fox Animation Studios, Twentieth Century Fox Animation, Fox Family Films, The Big Gun Project;0.0;twentieth century fox;fox;walt disney;hbo max;0;0
1997;MUSIC (Original Musical or Comedy Score);As Good as It Gets;tt0119822;Hans Zimmer;TriStar Pictures, Gracie Films;0.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;MUSIC (Original Musical or Comedy Score);The Full Monty;tt0119164;Anne Dudley;Redwave Films, Channel Four Films, Twentieth Century Fox;1.0;fox;searchlight pictures;twentieth century fox;columbia tristar films;0;0
1997;MUSIC (Original Musical or Comedy Score);Men in Black;tt0119654;Danny Elfman;Columbia Pictures, Amblin Entertainment, Parkes/MacDonald Image Nation;0.0;sony pictures;columbia tristar films;columbia tristar film;columbia tristar home video;columbia tristar home entertainment;0
1997;MUSIC (Original Musical or Comedy Score);My Best Friend's Wedding;tt0119738;James Newton Howard;TriStar Pictures, Zucker Brothers Productions, Predawn Productions;0.0;sony pictures;columbia tristar films;columbia tristar film;columbia tristar home entertainment;columbia tristar home video;0
1997;MUSIC (Original Song);Hercules;tt0119282;"Music by Alan Menken; Lyric by David Zippel";Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Feature Animation Paris, Walt Disney Feature Animation;0.0;walt disney;0;0;0;0;0
1997;MUSIC (Original Song);Con Air;tt0118880;Music and Lyric by Diane Warren;Touchstone Pictures, Jerry Bruckheimer Films, Kouf/Bigelow Productions, Runway Pictures, Hiett Designs of Las Vegas;0.0;walt disney;0;0;0;0;0
