Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor
1997,VISUAL EFFECTS,Titanic,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer","nm0499215,nm0489747,nm0279812,nm0437604",1,Twentieth Century Fox,gma films
1997,WRITING (Screenplay Based on Material Previously Produced or Published),Donnie Brasco,Paul Attanasio,nm0001921,0,Mandalay Entertainment,sony pictures releasing
1997,WRITING (Screenplay Based on Material Previously Produced or Published),L.A. Confidential,"Brian Helgeland, Curtis Hanson","nm0001338,nm0000436",1,Regency Enterprises,warner bros
1997,WRITING (Screenplay Based on Material Previously Produced or Published),The Sweet Hereafter,Atom Egoyan,nm0000382,0,Alliance Communications Corporation,alliance communications corporation
1997,WRITING (Screenplay Based on Material Previously Produced or Published),Wag the Dog,"Hilary Henkin, David Mamet","nm0377088,nm0000519",0,Baltimore Pictures,new line cinema
1997,WRITING (Screenplay Based on Material Previously Produced or Published),The Wings of the Dove,Hossein Amini,nm0024925,0,Miramax,miramax
1997,WRITING (Screenplay Written Directly for the Screen),As Good as It Gets,"Screenplay by Mark Andrus, James L. Brooks; Story by Mark Andrus","nm0029125,nm0000985",0,TriStar Pictures,cascade film
1997,WRITING (Screenplay Written Directly for the Screen),Boogie Nights,Paul Thomas Anderson,nm0000759,0,New Line Cinema,new line cinema
1997,WRITING (Screenplay Written Directly for the Screen),Deconstructing Harry,Woody Allen,nm0000095,0,Sweetland Films,fine line features
1997,WRITING (Screenplay Written Directly for the Screen),The Full Monty,Simon Beaufoy,nm0064479,0,Redwave Films,twentieth century fox
1997,WRITING (Screenplay Written Directly for the Screen),Good Will Hunting,"Ben Affleck, Matt Damon","nm0000255,nm0000354",1,Miramax,miramax
1997,HONORARY AWARD,,,nm0002045,1,nan,sin información
1997,GORDON E. SAWYER AWARD,,,nm0412648,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm0468224,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm0317040,?,?,?,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"?,?,nm0486570,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm0652296,nm0716315,nm0499001,nm0240416",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,nm0721662,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm1542930,nm0807286,nm0692312",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"?,?,nm0733079,?,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"?,nm0919359",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm0179811,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm2149370,?,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"?,?,?,nm0831289,nm0842157",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0160928,nm0258184,nm0742507",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm1232700,?,?,?",1,nan,sin información
1997,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0444112,nm0906385,nm0390897",1,nan,sin información
1997,JOHN A. BONNER MEDAL OF COMMENDATION,,,,1,nan,sin información
1998,ACTOR IN A LEADING ROLE,Life Is Beautiful,Roberto Benigni,nm0000905,1,Melampo Cinematografica,ascot elite entertainment group
1998,ACTOR IN A LEADING ROLE,Saving Private Ryan,Tom Hanks,nm0000158,0,Dreamworks Pictures,dreamworks distribution
1998,ACTOR IN A LEADING ROLE,Gods and Monsters,Ian McKellen,nm0005212,0,Lionsgate,lionsgate
1998,ACTOR IN A LEADING ROLE,Affliction,Nick Nolte,nm0000560,0,JVC Entertainment Networks,lionsgate
1998,ACTOR IN A LEADING ROLE,American History X,Edward Norton,nm0001570,0,New Line Cinema,new line cinema
1998,ACTOR IN A SUPPORTING ROLE,Affliction,James Coburn,nm0000336,1,JVC Entertainment Networks,lionsgate
1998,ACTOR IN A SUPPORTING ROLE,A Civil Action,Robert Duvall,nm0000380,0,Touchstone Pictures,buena vista pictures distribution
1998,ACTOR IN A SUPPORTING ROLE,The Truman Show,Ed Harris,nm0000438,0,Paramount Pictures,paramount
1998,ACTOR IN A SUPPORTING ROLE,Shakespeare in Love,Geoffrey Rush,nm0001691,0,Universal Pictures,miramax
1998,ACTOR IN A SUPPORTING ROLE,A Simple Plan,Billy Bob Thornton,nm0000671,0,Mutual Film Company,paramount
1998,ACTRESS IN A LEADING ROLE,Elizabeth,Cate Blanchett,nm0000949,0,Polygram Filmed Entertainment,universal pictures uk
1998,ACTRESS IN A LEADING ROLE,Central Station,Fernanda Montenegro,nm0005244,0,VideoFilmes,riofilme
1998,ACTRESS IN A LEADING ROLE,Shakespeare in Love,Gwyneth Paltrow,nm0000569,1,Universal Pictures,miramax
1998,ACTRESS IN A LEADING ROLE,One True Thing,Meryl Streep,nm0000658,0,Monarch Pictures,universal
1998,ACTRESS IN A LEADING ROLE,Hilary and Jackie,Emily Watson,nm0001833,0,Arts Council of England,october films
1998,ACTRESS IN A SUPPORTING ROLE,Primary Colors,Kathy Bates,nm0000870,0,Universal Pictures,universal
1998,ACTRESS IN A SUPPORTING ROLE,Little Voice,Brenda Blethyn,nm0000950,0,Miramax,budapest film
1998,ACTRESS IN A SUPPORTING ROLE,Shakespeare in Love,Judi Dench,nm0001132,1,Universal Pictures,miramax
1998,ACTRESS IN A SUPPORTING ROLE,Hilary and Jackie,Rachel Griffiths,nm0341737,0,Arts Council of England,october films
1998,ACTRESS IN A SUPPORTING ROLE,Gods and Monsters,Lynn Redgrave,nm0001655,0,Lionsgate,lionsgate
1998,ART DIRECTION,Elizabeth,Art Direction: John Myhre; Set Decoration: Peter Howitt,"nm0616924,nm0398184",0,Polygram Filmed Entertainment,universal pictures uk
1998,ART DIRECTION,Pleasantville,Art Direction: Jeannine Oppewall; Set Decoration: Jay Hart,"nm0649223,nm0366345",0,New Line Cinema,new line cinema
1998,ART DIRECTION,Saving Private Ryan,Art Direction: Tom Sanders; Set Decoration: Lisa Dean Kavanaugh,"nm0761742,nm0212856",0,Dreamworks Pictures,dreamworks distribution
1998,ART DIRECTION,Shakespeare in Love,Art Direction: Martin Childs; Set Decoration: Jill Quertier,"nm0157575,nm0703296",1,Universal Pictures,miramax
1998,ART DIRECTION,What Dreams May Come,Art Direction: Eugenio Zanetti; Set Decoration: Cindy Carr,"nm0952968,nm0139649",0,Polygram Filmed Entertainment,polygram filmed entertainment
1998,CINEMATOGRAPHY,A Civil Action,Conrad L. Hall,nm0005734,0,Touchstone Pictures,buena vista pictures distribution
1998,CINEMATOGRAPHY,Elizabeth,Remi Adefarasin,nm0001899,0,Polygram Filmed Entertainment,universal pictures uk
1998,CINEMATOGRAPHY,Saving Private Ryan,Janusz Kaminski,nm0001405,1,Dreamworks Pictures,dreamworks distribution
1998,CINEMATOGRAPHY,Shakespeare in Love,Richard Greatrex,nm0337313,0,Universal Pictures,miramax
1998,CINEMATOGRAPHY,The Thin Red Line,John Toll,nm0001799,0,Fox 2000 Pictures,twentieth century fox
1998,COSTUME DESIGN,Beloved,Colleen Atwood,nm0041181,0,Touchstone Pictures,buena vista pictures distribution
1998,COSTUME DESIGN,Elizabeth,Alexandra Byrne,nm0126107,0,Polygram Filmed Entertainment,universal pictures uk
1998,COSTUME DESIGN,Pleasantville,Judianna Makovsky,nm0538721,0,New Line Cinema,new line cinema
1998,COSTUME DESIGN,Shakespeare in Love,Sandy Powell,nm0694309,1,Universal Pictures,miramax
1998,COSTUME DESIGN,Velvet Goldmine,Sandy Powell,nm0694309,0,Channel Four Films,arp sã©lection
1998,DIRECTING,Life Is Beautiful,Roberto Benigni,nm0000905,0,Melampo Cinematografica,ascot elite entertainment group
1998,DIRECTING,Saving Private Ryan,Steven Spielberg,nm0000229,1,Dreamworks Pictures,dreamworks distribution
1998,DIRECTING,Shakespeare in Love,John Madden,nm0006960,0,Universal Pictures,miramax
1998,DIRECTING,The Thin Red Line,Terrence Malick,nm0000517,0,Fox 2000 Pictures,twentieth century fox
1998,DIRECTING,The Truman Show,Peter Weir,nm0001837,0,Paramount Pictures,paramount
